colonne	valeur
casier_judiciaire	CriminalOffenceData
criminal_record	CriminalOffenceData
groupe_sanguin	HealthData
blood_type	HealthData
religion	SpecialCategoryData
ethnicity	SpecialCategoryData
password	AuthenticationSecret
mot_de_passe	AuthenticationSecret
password_hash	AuthenticationSecret
api_key	AuthenticationSecret
ssn	NationalIdentifier
nir	NationalIdentifier
numero_securite_sociale	NationalIdentifier
social_security_number	NationalIdentifier
iban	FinancialData
salaire	FinancialData
salary	FinancialData
credit_card_number	FinancialData
latitude	LocationData
longitude	LocationData
ip_address	ConnectionData
adresse_ip	ConnectionData
user_agent	ConnectionData
last_login	ConnectionData
nom	Identity
prenom	Identity
first_name	Identity
last_name	Identity
full_name	Identity
date_naissance	Identity
date_of_birth	Identity
sexe	Identity
gender	Identity
nationalite	Identity
nationality	Identity
email	ContactDetails
courriel	ContactDetails
telephone	ContactDetails
phone	ContactDetails
phone_number	ContactDetails
mobile	ContactDetails
adresse	ContactDetails
address	ContactDetails
ville	ContactDetails
city	ContactDetails
code_postal	ContactDetails
zip_code	ContactDetails
postal_code	ContactDetails
profession	ProfessionalLife
job_title	ProfessionalLife
